date,etf_name,nav_value,已發行受益權單位總數,每受益權單位淨資產價值(元),台積電股數,台積電持股權重,聯電股數,聯電持股權重,奇鋐股數,奇鋐持股權重,欣興股數,欣興持股權重,台光電股數,台光電持股權重,日月光投控股數,日月光投控持股權重,金像電股數,金像電持股權重,台達電股數,台達電持股權重,智邦股數,智邦持股權重,緯穎股數,緯穎持股權重,群聯股數,群聯持股權重,華邦電股數,華邦電持股權重,旺矽股數,旺矽持股權重,信驊股數,信驊持股權重,國巨*股數,國巨*持股權重,貿聯-KY股數,貿聯-KY持股權重,旺宏股數,旺宏持股權重,南電股數,南電持股權重,世界股數,世界持股權重,臻鼎-KY股數,臻鼎-KY持股權重,健策股數,健策持股權重,嘉澤股數,嘉澤持股權重,國泰金股數,國泰金持股權重,致茂股數,致茂持股權重,穎崴股數,穎崴持股權重,鴻勁股數,鴻勁持股權重,高力股數,高力持股權重,力旺股數,力旺持股權重,健鼎股數,健鼎持股權重,勤誠股數,勤誠持股權重,辛耘股數,辛耘持股權重,台燿股數,台燿持股權重,華通股數,華通持股權重,創意股數,創意持股權重,聯亞股數,聯亞持股權重,金居股數,金居持股權重,中信金股數,中信金持股權重,文曄股數,文曄持股權重,頎邦股數,頎邦持股權重,譜瑞-KY股數,譜瑞-KY持股權重,順達股數,順達持股權重,中砂股數,中砂持股權重,聯發科股數,聯發科持股權重,光聖股數,光聖持股權重,華星光股數,華星光持股權重,穩懋股數,穩懋持股權重,富世達股數,富世達持股權重,強茂股數,強茂持股權重,上銀股數,上銀持股權重,全新股數,全新持股權重,京元電子股數,京元電子持股權重,精測股數,精測持股權重,欣銓股數,欣銓持股權重,萬潤股數,萬潤持股權重,高技股數,高技持股權重,漢唐股數,漢唐持股權重,大立光股數,大立光持股權重,華碩股數,華碩持股權重,南茂股數,南茂持股權重,亞德客-KY股數,亞德客-KY持股權重,台表科股數,台表科持股權重,矽力*-KY股數,矽力*-KY持股權重,精成科股數,精成科持股權重,新日興股數,新日興持股權重,優群股數,優群持股權重,中鋼股數,中鋼持股權重,東陽股數,東陽持股權重,世芯-KY股數,世芯-KY持股權重,富喬股數,富喬持股權重,美律股數,美律持股權重,鴻海股數,鴻海持股權重,景碩股數,景碩持股權重,南亞股數,南亞持股權重,環球晶股數,環球晶持股權重,雙鴻股數,雙鴻持股權重,台灣大股數,台灣大持股權重,台化股數,台化持股權重,亞翔股數,亞翔持股權重,南亞科股數,南亞科持股權重,聖暉*股數,聖暉*持股權重,台玻股數,台玻持股權重,川湖股數,川湖持股權重,玉山金股數,玉山金持股權重
2026-04-16,00981A 主動統一台股增長,144742808435,5816709000,24.88,6256000,9.01%,,,3272000,5.52%,9287000,4.14%,3012000,7.98%,6679000,2.08%,6971000,5.61%,4711000,6%,3963000,5.57%,199000,0.51%,,,,,1521000,5.16%,350000,3.5%,13418000,3.01%,3332848,5.51%,,,8389000,4.18%,10000.0,0%,,,1906000,5.77%,,,,,,,311000,2.11%,,,535000,0.41%,,,,,964000,0.68%,527000.0,0.26%,3019000,2%,60000,0.01%,271000.0,0.63%,,,5508000,1.27%,,,,,7884000.0,0.62%,,,3702000.0,0.89%,,,1540000,2.02%,,,1037000.0,0.42%,,,1404000,1.84%,3648000.0,0.27%,,,,,9479000,1.86%,633000,1.6%,3055000.0,0.37%,396000.0,0.3%,1756000.0,0.48%,821000,0.53%,12000.0,0.02%,11000,0%,,,,,,,,,3664000,0.27%,1497000,0.2%,556000,0.06%,5156000,0.07%,504000,0.03%,256000,0.61%,106000,0.01%,11000,0%,,,2825000.0,0.77%,16352000.0,1.02%,1465000.0,0.55%,166000.0,0.12%,11000.0,0%,,,,,,,,,,,,,,
2026-04-15,00981A 主動統一台股增長,136344191094,5638709000,24.18,6121000,9.34%,,,3202000,5.46%,9287000,4.21%,3012000,8.42%,6535000,2.14%,6821000,5.83%,4610000,6.04%,3878000,5.6%,195000,0.53%,,,,,1489000,5.03%,343000,3.49%,13128000,3.1%,3260848,5.62%,,,8389000,4.04%,10000.0,0%,,,1837000,5.6%,,,,,,,305000,2.03%,,,535000,0.43%,,,,,944000,0.69%,527000.0,0.27%,2954000,2.05%,59000,0.01%,271000.0,0.61%,,,5389000,1.32%,,,,,7884000.0,0.61%,,,3850000.0,0.98%,,,1067000,1.4%,,,1037000.0,0.41%,,,1308000,1.75%,1716000.0,0.13%,,,,,9275000,1.98%,620000,1.64%,2989000.0,0.41%,388000.0,0.32%,1719000.0,0.5%,804000,0.54%,12000.0,0.02%,11000,0%,,,,,,,,,3585000,0.27%,1465000,0.21%,545000,0.06%,5052000,0.07%,493000,0.03%,251000,0.59%,106000,0.01%,11000,0%,,,2764000.0,0.78%,16352000.0,1.06%,1434000.0,0.54%,163000.0,0.12%,11000.0,0%,,,,,,,,,,,,,,
2026-04-14,00981A 主動統一台股增長,129604959884,5506209000,23.54,6013000,9.53%,,,3142000,5.6%,9287000,4.28%,2932000,8.16%,6415000,2.1%,6771000,6.01%,4560000,6.16%,3818000,5.57%,175000,0.51%,,,,,1469000,5.17%,331000,3.32%,12928000,3.11%,3210848,5.69%,,,8269000,4.12%,9000.0,0%,,,1777000,5.48%,,,,,,,290000,1.9%,,,535000,0.46%,,,,,864000,0.64%,527000.0,0.28%,2954000,1.96%,9000,0%,271000.0,0.64%,,,4809000,1.17%,,,,,7884000.0,0.69%,,,3849000.0,1.04%,,,679000,0.9%,,,1037000.0,0.39%,,,1188000,1.59%,1676000.0,0.13%,,,,,9125000,2.12%,606000,1.57%,2988000.0,0.43%,388000.0,0.31%,1404000.0,0.39%,803000,0.57%,11000.0,0.02%,10000,0%,,,,,,,,,3485000,0.28%,1464000,0.22%,495000,0.06%,5051000,0.08%,492000,0.03%,241000,0.6%,6000,0%,10000,0%,,,2764000.0,0.79%,20441000.0,1.4%,1414000.0,0.55%,162000.0,0.12%,10000.0,0%,9223000.0,0.39%,,,,,,,,,,,,
2026-04-13,00981A 主動統一台股增長,123308354588,5372209000,22.95,5827000,9.4%,,,3066000,5.47%,9287000,4.71%,2861000,7.71%,6259000,2.12%,6607000,5.65%,4450000,6.28%,3726000,5.5%,77000,0.23%,,,,,1434000,5.29%,323000,3.19%,12614000,3.1%,3132848,5.65%,,,8269000,4.39%,8000.0,0%,,,1734000,5.69%,,,,,,,283000,1.96%,,,535000,0.48%,,,,,64000,0.05%,527000.0,0.3%,2954000,1.92%,8000,0%,271000.0,0.61%,,,4809000,1.12%,,,,,7692000.0,0.73%,,,3902000.0,1.14%,,,528000,0.69%,,,1037000.0,0.39%,,,1160000,1.66%,1637000.0,0.13%,,,,,8903000,2.13%,605000,1.68%,2916000.0,0.45%,388000.0,0.33%,,,784000,0.59%,11000.0,0.02%,9000,0%,,,,,,,,,3402000,0.26%,1429000,0.23%,484000,0.06%,4930000,0.08%,491000,0.03%,236000,0.59%,6000,0%,9000,0%,,,2697000.0,0.8%,19943000.0,1.39%,1380000.0,0.56%,161000.0,0.12%,9000.0,0%,9002000.0,0.36%,,,,,,,,,,,,
2026-04-10,00981A 主動統一台股增長,121142817452,5250209000,23.07,5518000,9.11%,,,3026000,5.66%,9147000,4.82%,2861000,8.08%,6159000,2%,6607000,5.94%,4379000,6.27%,3646000,5.52%,76000,0.23%,,,,,1414000,5.39%,318000,3.3%,11083000,2.61%,3052848,5.54%,,,8189000,4.51%,5845000.0,0.62%,,,1694000,5.77%,,,,,,,268000,1.75%,,,515000,0.44%,,,,,34000,0.02%,526000.0,0.29%,2670000,1.78%,7000,0%,267000.0,0.59%,,,2750000,0.62%,,,,,7692000.0,0.67%,,,4086000.0,1.26%,,,508000,0.66%,,,1037000.0,0.38%,,,1130000,1.74%,1636000.0,0.14%,,,,,7512000,1.72%,604000,1.74%,2870000.0,0.45%,388000.0,0.31%,,,764000,0.58%,10000.0,0.02%,8000,0%,,,,,,,,,3402000,0.28%,1428000,0.24%,477000,0.06%,4929000,0.08%,982000,0.07%,233000,0.58%,5000,0%,8000,0%,,,2657000.0,0.84%,19743000.0,1.33%,1330000.0,0.54%,160000.0,0.13%,8000.0,0%,9001000.0,0.34%,1559000.0,0.82%,,,,,,,,,,
2026-04-09,00981A 主動統一台股增長,116247378352,5150209000,22.57,5518000,9.28%,,,3026000,5.82%,8443000,4.54%,2861000,7.92%,6159000,2.08%,6607000,6.22%,4379000,6.2%,3646000,5.3%,76000,0.23%,,,,,1414000,5.44%,318000,3.44%,11083000,2.68%,3052848,5.59%,,,7557000,4.35%,5845000.0,0.66%,,,1595000,5.82%,,,,,,,268000,1.84%,,,515000,0.45%,,,,,34000,0.03%,526000.0,0.28%,2670000,1.83%,7000,0%,267000.0,0.61%,,,2750000,0.64%,,,,,7692000.0,0.64%,,,4086000.0,1.29%,,,508000,0.69%,,,1037000.0,0.38%,,,1130000,1.79%,1636000.0,0.14%,,,,,7512000,1.78%,604000,1.77%,2870000.0,0.45%,388000.0,0.3%,,,764000,0.6%,10000.0,0.02%,8000,0%,,,,,,,,,3402000,0.28%,1428000,0.26%,477000,0.06%,4929000,0.09%,982000,0.07%,233000,0.58%,5000,0%,8000,0%,,,2657000.0,0.88%,19743000.0,1.45%,1330000.0,0.51%,160000.0,0.14%,8000.0,0%,9001000.0,0.35%,1559000.0,0.81%,,,,,,,,,,
2026-04-08,00981A 主動統一台股增長,113486634033,5130209000,22.12,5428000,9.33%,,,3026000,5.95%,8443000,4.61%,2861000,7.99%,6159000,2.08%,6607000,5.81%,4379000,6.42%,3646000,5.49%,76000,0.24%,,,,,1414000,5.37%,318000,3.53%,11083000,2.65%,3052848,5.42%,,,7557000,4.24%,5845000.0,0.67%,,,1595000,5.64%,,,,,,,268000,1.84%,,,515000,0.42%,,,,,34000,0.03%,226000.0,0.11%,2670000,1.71%,7000,0%,267000.0,0.59%,,,2750000,0.65%,,,,,5601000.0,0.49%,,,4086000.0,1.36%,,,508000,0.71%,,,1037000.0,0.39%,,,1130000,1.88%,1636000.0,0.15%,,,,,7512000,1.85%,604000,1.83%,2870000.0,0.42%,388000.0,0.34%,,,764000,0.61%,10000.0,0.02%,8000,0%,,,,,,,,,3402000,0.28%,1428000,0.27%,477000,0.07%,4929000,0.09%,1504000,0.11%,233000,0.59%,5000,0%,8000,0%,,,2657000.0,0.92%,19743000.0,1.48%,1330000.0,0.51%,160000.0,0.14%,8000.0,0%,9001000.0,0.36%,1559000.0,0.76%,,,,,,,,,,
2026-04-07,00981A 主動統一台股增長,106340149094,5123709000,20.75,5428000,9.49%,,,3026000,5.78%,8443000,4.48%,2807000,7.62%,6159000,2.04%,6607000,5.76%,4379000,6.24%,3646000,5.54%,76000,0.24%,,,,,1414000,5.21%,318000,3.43%,11083000,2.67%,3052848,5.71%,,,7557000,4.43%,5845000.0,0.67%,,,1595000,5.64%,,,,,,,268000,1.79%,,,515000,0.44%,,,,,235000,0.18%,190000.0,0.09%,2458000,1.58%,7000,0%,267000.0,0.59%,,,1955000,0.45%,,,,,5601000.0,0.47%,,,4086000.0,1.37%,,,508000,0.7%,,,1037000.0,0.39%,,,1130000,1.97%,1636000.0,0.16%,,,,,7512000,1.89%,604000,1.89%,2870000.0,0.42%,388000.0,0.34%,,,595000,0.48%,10000.0,0.02%,8000,0%,,,,,,,,,3402000,0.29%,1428000,0.28%,477000,0.07%,4929000,0.09%,1504000,0.11%,233000,0.59%,5000,0%,8000,0%,,,2657000.0,0.9%,19743000.0,1.49%,1330000.0,0.52%,160000.0,0.14%,8000.0,0%,9001000.0,0.39%,1559000.0,0.76%,,,,,,,,,,
2026-04-02,00981A 主動統一台股增長,103524649556,5135209000,20.16,5428000,9.49%,,,3026000,6.05%,7410000,3.71%,2807000,7.55%,6159000,2.15%,6607000,5.78%,4379000,6.05%,3646000,5.6%,76000,0.25%,,,,,1414000,5.14%,318000,3.59%,11083000,2.63%,3052848,5.65%,,,6895000,3.78%,5845000.0,0.62%,,,1595000,5.72%,,,,,,,268000,1.71%,,,515000,0.43%,,,,,480000,0.39%,8000.0,0%,1773000,1.06%,7000,0%,267000.0,0.6%,,,1955000,0.43%,,,,,,,,,4086000.0,1.31%,,,508000,0.72%,,,1037000.0,0.38%,,,1130000,2.06%,1636000.0,0.15%,,,,,7512000,1.88%,604000,1.85%,2870000.0,0.45%,388000.0,0.34%,,,595000,0.48%,10000.0,0.02%,8000,0%,,,,,,,,,3402000,0.29%,1428000,0.26%,477000,0.07%,4929000,0.09%,1504000,0.12%,275000,0.72%,5000,0%,8000,0%,,,2657000.0,0.86%,19743000.0,1.47%,1330000.0,0.53%,160000.0,0.14%,8000.0,0%,9001000.0,0.39%,1559000.0,0.78%,,,,,,,,,,
2026-04-01,00981A 主動統一台股增長,106257420163,5145209000,20.65,5428000,9.48%,,,3026000,6.01%,7410000,3.41%,2807000,7.56%,6159000,2.09%,6607000,5.88%,4379000,6.08%,3646000,5.7%,76000,0.24%,,,,,1414000,5.26%,318000,3.39%,11083000,2.62%,3052848,5.49%,,,6307000,3.41%,5845000.0,0.65%,,,1595000,5.93%,,,,,,,268000,1.84%,,,515000,0.44%,,,,,1240000,1.05%,8000.0,0%,1773000,1.04%,7000,0%,267000.0,0.59%,,,1955000,0.45%,,,,,,,,,4086000.0,1.36%,,,508000,0.7%,,,1037000.0,0.37%,,,1030000,1.87%,,,,,,,7512000,1.98%,604000,1.91%,2870000.0,0.45%,388000.0,0.33%,,,595000,0.47%,10000.0,0.02%,8000,0%,,,,,,,,,3402000,0.29%,1428000,0.26%,477000,0.07%,4929000,0.09%,1504000,0.12%,275000,0.71%,5000,0%,8000,0%,,,2657000.0,0.83%,19743000.0,1.46%,1478000.0,0.58%,160000.0,0.14%,8000.0,0%,9001000.0,0.38%,1559000.0,0.77%,,,,,,,,,,
